Stock Code,Name of Listed Company,Listed Company's Website Address
1,Cheung Kong (Holdings) Limited,http://www.ckh.com.hk
2,CLP Holdings Limited,http://www.clpgroup.com
3,The Hong Kong and China Gas Company Limited,http://www.towngas.com
4,The Wharf (Holdings) Limited,http://www.wharfholdings.com
5,HSBC Holdings plc,http://www.hsbc.com
6,Power Assets Holdings Limited,http://www.powerassets.com
7,Karl Thomson Holdings Limited,http://www.ktg.com.hk/ktg_announcement.jsp
8,PCCW Limited,http://www.pccw.com
9,China Mandarin Holdings Limited,http://www.hmdatalink.com/ChinaMandarin
10,Hang Lung Group Limited,http://www.hanglunggroup.com
11,"Hang Seng Bank, Limited",http://www.hangseng.com
12,Henderson Land Development Company Limited,http://www.hld.com
13,Hutchison Whampoa Limited,http://www.hutchison-whampoa.com
14,Hysan Development Company Limited,http://www.hysan.com.hk
15,Vantage International (Holdings) Limited,http://www.capitalfp.com.hk/eng/index.jsp?co=15
16,Sun Hung Kai Properties Limited,http://www.shkp.com
17,New World Development Company Limited,http://www.nwd.com.hk
18,Oriental Press Group Ltd.,http://opg.com.hk
19,Swire Pacific Limited 'A',http://www.swirepacific.com
20,Wheelock And Company Limited,http://www.wheelockcompany.com
21,Waytung Global Group Ltd.,http://www.waytung.com
22,Mexan Limited,http://www.mexanhk.com
23,"The Bank of East Asia, Limited",http://www.hkbea.com
24,Burwill Holdings Limited,http://www.burwill.com
25,Chevalier International Holdings Limited,http://www.chevalier.com
26,"China Motor Bus Company, Limited",http://www.irasia.com/listco/hk/cmb/index.htm
27,Galaxy Entertainment Group Limited,http://www.galaxyentertainment.com
28,Tian An China Investments Company Limited,http://www.irasia.com/listco/hk/tiananchina/index.htm
29,Dynamic Holdings Limited,http://www.dynamic.hk
30,ABC Communications (Holdings) Limited,http://www.0030hk.com/news.php
31,China Aerospace International Holdings Limited,http://www.casil-group.com
32,The Cross-Harbour (Holdings) Limited,http://www.crossharbour.com.hk
33,Rainbow Brothers Holdings Limited,http://www.rainbowbrothers.com
34,Kowloon Development Company Limited,http://www.kdc.com.hk
35,Far East Consortium International Limited,http://www.irasia.com/listco/hk/fareastcon/index.htm
36,Far East Holdings International Limited,http://www.feholdings.com.hk
37,Far East Hotels And Entertainment Limited,http://www.tricor.com.hk/webservice/00037
38,First Tractor Company Limited,http://www.irasia.com/listco/hk/firsttractor
39,Bio-Dynamic Group Limited,http://www.irasia.com/listco/hk/biodynamic/index.htm
40,Gold Peak Industries (Holdings) Limited,http://www.goldpeak.com
41,Great Eagle Holdings Limited,http://www.greateagle.com.hk
42,Northeast Electric Development Company Limited,http://www.nee.hk
43,C.P. Pokphand Co. Ltd.,http://www.cpp.hk
44,Hong Kong Aircraft Engineering Company Limited,http://www.haeco.com
45,"The Hongkong and Shanghai Hotels, Limited",http://www.hshgroup.com
